2100,3,450000
1590,3,340000
2450,3,380000
1400,2,225000
2950,4,550000
1980,4,310000
1550,3,320000
1410,3,200000
1370,3,220000
1480,3,255000
1950,4,245000
1990,3,355000
1880,3,340000
4500,5,710000
1270,3,270000
2300,4,460000
1350,2,310000
1220,3,205000
2600,4,520000
3050,4,610000
1750,3,270000
1890,2,260000
1620,3,250000
1950,4,270000
3900,3,580000
1150,3,260000
1460,3,470000
2550,3,480000
2150,3,485000
2620,3,310000
1820,2,360000
1050,1,180000
2030,4,325000
3150,3,585000
1800,4,290000
1420,3,255000
1250,3,230000
2150,4,355000
4250,4,555000
2170,4,295000
1670,2,370000
2250,3,340000
2570,4,310000
1180,3,305000
880,2,190000
1850,4,310000
1220,3,245000
